REACTION,DELTAG [kJ/mol],UNCERTAINTY [kJ/mol]
NACHEX27ly,-999999,0
NACHEX2ly,-999999,0
NACHEX3ly,-999999,0
NACHEX4ly,-999999,0
NACHEX5ly,-999999,0
NACHEX6ly,-999999,0
NACHEX7ly,-999999,0
NACHEX8ly,-999999,0
NACHEX9ly,-999999,0
NACHEXA10ly,-999999,0
NACHEXA11ly,-999999,0
NACHEXA12ly,-999999,0
NACHEXA13ly,-999999,0
NACHEXA14ly,-999999,0
NACHEXA15ly,-999999,0
NACHEXA16ly,-999999,0
NACHEXA17ly,-999999,0
NACHEXA18ly,-999999,0
NACHEXA19ly,-999999,0
NACHEXA1ly,-999999,0
NACHEXA20ly,-999999,0
NACHEXA21ly,-999999,0
NACHEXA22ly,-999999,0
NACHEXA2ly,-999999,0
NACHEXA3ly,-999999,0
NACHEXA4ly,-999999,0
NACHEXA5ly,-999999,0
NACHEXA6ly,-999999,0
NACHEXA7ly,-999999,0
NACHEXA8ly,-999999,0
NACHEXA9ly,-999999,0
NACUP,0,0
NADH2_u10m,-171.07,13.12
NADHtpu,0,0
NADHtru,0,0
NADK,27.83,6.69
NADN,10.67,7.9
NADNe,10.67,7.9
NADPHtru,0,0
NADPHtxu,0,0
NADPN,15.43,7.98
NADPNe,15.43,7.98
NADPtru,0,0
NADPtxu,0,0
NADS2,15.21,7.26
NADtn_for,0,0
NADtpu,0,0
NADtru,0,0
NAGA2ly,-999999,0
NAGAlby,-999999,0
NAGAly,-999999,0
NAGLCAly,-999999,0
NAHCO3_HCLt_for,0,0
NAIt_for,0,0
NaKt,11.33,4.76
NAt_for,0,0
NAt3_1_for,0,0
NAt3_1g_for,0,0
NAt5_for,0,0
NAtx_for,0,0
NBAHH_ir,0.65,9.9
NCAMUP,0,0
NCCt,0,0
NCKt_for,0,0
NCNt_for,0,0
NDP10ex,28.05,7.1
NDP3ex,8.81,5.13
NDP6,8.35,6.71
NDP7er,7.98,6.99
NDP7ex,7.98,6.99
NDP7g,7.98,6.99
NDP8,8.16,5.39
NDP8ex,12.17,5.15
NDPK1_for,-3.68,2.15
NDPK10_for,1.56,2.53
NDPK10m_for,1.56,2.53
NDPK10n_for,1.56,2.53
NDPK1m_for,-3.68,2.15
NDPK1n_for,-3.68,2.15
NDPK2_for,-0.85,2.04
NDPK2m_for,-0.85,2.04
NDPK2n_for,-0.85,2.04
NDPK3_for,-3.68,4.35
NDPK3m_for,-3.68,4.35
NDPK3n_for,-3.68,4.35
NDPK4_for,-0.05,4.58
NDPK4m,-0.05,4.58
NDPK4n_for,-0.05,4.58
NDPK5_for,-0.61,4.46
NDPK5m,-0.61,4.46
NDPK5n_for,-0.61,4.46
NDPK6_for,1.56,2.53
NDPK6m_for,1.56,2.53
NDPK6n_for,1.56,2.53
NDPK7_for,1.65,4.46
NDPK7m,1.65,4.46
NDPK7n_for,1.65,4.46
NDPK8_for,2.68,2.79
NDPK8m,2.68,2.79
NDPK8n_for,2.68,2.79
NDPK9_for,3.74,2.35
NDPK9m_for,3.74,2.35
NDPK9n_for,3.74,2.35
NH4t3r_for,0,0
NH4tn_for,0,0
NH4tp_for,0,0
NICRNS,35.14,7.32
NICRNTtn_for,0,0
NIFEDIPINEte_for,0,0
NKCC2t_for,0,0
NKCCt_for,0,0
NMNATm,-54.09,6.69
NMNATn,-54.09,6.69
NMNATr_for,-54.09,6.69
NMNS,-70.96,10.94
NMNtn_for,0,0
NMPTRCOX,-145.56,21.01
NNATm,-73.47,10.41
NNATn,-73.47,10.41
NNATr,-73.47,10.41
NNMT,-999999,0
NORANMT,-999999,0
NOS1,-999999,0
NOS2,-999999,0
NOt_for,0,0
NP1,-47.15,7.53
NPTHLte_for,0,0
NRPPHRSFt,0,0
NRPPHRSULT,-999999,0
NRPPHRt4_2_r_for,0,0
NRPPHRtu_for,0,0
NRPPHRVESSEC,11.33,4.76
NRVNCCOAtx_for,0,0
NRVNCCPT1,-999999,0
NRVNCCPT2,-999999,0
NRVNCCRNt,0,0
NRVNCt_for,0,0
NS26T2g,-999999,0
NS26Tg,-999999,0
NT5C,-23.81,5.6
NTD1,-15.57,2.45
NTD10,-8.41,3.86
NTD11,-6.49,3
NTD12,-10.59,4.34
NTD1m,-15.57,2.45
NTD2,-3.45,7.41
NTD2e,-3.45,7.41
NTD2l,-3.45,7.41
NTD2m,-3.45,7.41
NTD3,-15.66,4.31
NTD3l,-15.66,4.31
NTD4,-13.89,5.1
NTD4e,-13.89,5.1
NTD4l,-13.89,5.1
NTD5,-10,5.37
NTD5l,-10,5.37
NTD5m,-10,5.37
NTD6,-22.18,4.51
NTD6l,-22.18,4.51
NTD7,-13.45,2.28
NTD7e,-13.45,2.28
NTD7l,-13.45,2.28
NTD8,-13.4,4.31
NTD8l,-13.4,4.31
NTD9,-5.05,5.44
NTD9e,-5.05,5.44
NTD9l,-5.05,5.44
NTMELYStner,0,0
NTP3e,15,5.21
NTPP10,-6.82,6.93
NTPP11,-6.82,6.93
NTPP9,10.89,6.69
O16G1e,-999999,0
O16G2e,-999999,0
O2St_for,0,0
O2Stm_for,0,0
O2Stn_for,0,0
O2Stx_for,0,0
O2t_for,0,0
O2ter_for,0,0
O2tm_for,0,0
O2tn_for,0,0
O2tp_for,0,0
OAGD3te_for,0,0
OAGD3tg_for,0,0
OAGT3te_for,0,0
OAGT3tg_for,0,0
OBDHc,-15.53,9.11
OCBTm,14.51,6.69
OCCOAtm,0,0
OCCOAtx_for,0,0
OCDCAtr_for,0,0
OCDCEAtr_for,0,0
OCOAT1m,8.35,1.06
OCTAt_for,0,0
ODECOAtx_for,0,0
OIVD1m,-27.92,6.95
OIVD2m,-19.6,5.65
OIVD3m,-19.6,5.65
OMEPRAZOLEte_for,0,0
OMPDC,-83.84,15.91
ONPTHLte_for,0,0
OPAHir,19.03,6.25
ORETNF,-319.37,8.49
ORETNF2,-999999,0
ORETNtn_for,0,0
ORETNtn2_for,0,0
ORNDC,-78.4,9.88
ORNt3m_for,0,0
ORNt4m_for,0,0
ORNTArm_for,-22.3,7.34
ORNtiDF,0,0
ORPT_for,9.31,2.12
OXAHCOtex,0,0
OXAtp,0,0
P45011A1m,-821.46,11.11
P45011B11m,-451.98,7.18
P45011B12m,-451.98,7.18
P45011B21m,-825.21,11.27
P45017A1r,-454.99,7.29
P45017A2r,-271.27,6.83
P45017A3r,-454.99,7.29
P45017A4r,-269.51,6.49
P45019A1r,-999999,0
P45019A2r,-999999,0
P4501B1r,-999999,0
P45021A1r,-438.12,6.95
P45021A2r,-438.12,6.95
P45027A11m,-438.12,6.95
P45027A12m,64.89,5.15
P45027A13m,-501.01,5.19
P45027A14m,-438.12,6.95
P45027A15m,-485.72,7.3
P45027A16m,-501.01,5.19
P45027A1m,-438.12,6.95
P4502A6,-483.78,7.68
P4502C18,-999999,0
P4502C19,-999999,0
P4502C8,-999999,0
P4502C9,-438.12,6.95
P4502C92,-451.98,7.18
P4502C93,-438.12,6.95
P4502C94,-999999,0
P4502D6,-451.98,7.18
P4502E1,-483.78,7.68
P4502F1,-999999,0
P45039A1r,-451.98,7.18
P4503A4,-999999,0
P4503A43r,-436.36,7.24
P4503A5,-999999,0
P4503A7r,-450.23,7.51
P45046A1r,-443.83,6.88
P4504B1r,-444.93,7.17
P4504F121r,-439.21,7.43
P4504F122r,-438.12,6.95
P4504F123r,-999999,0
P4504F81r,-444.93,7.17
P4507A1r,-450.36,7.01
P4507B11r,-451.98,7.18
P4507B12r,-451.98,7.18
P4508B11r,-451.98,7.18
P4508B13r,-448.55,7.18
P450LTB4r,-711.43,7.66
P450SCC1m_for,-450.36,7.01
P5CDm,-6.08,10.35
P5CRm,-138.24,10.58
P5CRxm,-134.81,10.59
PA_HSter_for,0,0
PA_HStg_for,0,0
PA_HStn_for,0,0
PACCOAL,-32.07,4.2
PAFH,-999999,0
PAFHe,-999999,0
PAFS,-999999,0
PAFt_for,0,0
PAIL_HStn_for,0,0
PAIL45P_HStn_for,0,0
PAIL4P_HStn_for,0,0
PAN4PP,-15.57,2.45
PAPStg_for,0,0
PAPtg,0,0
PCFLOPm,11.33,4.76
PCHOL_HSter_for,0,0
PCHOL_HStg_for,0,0
PCHOLP_hs,-999999,0
PCHOLPg_hs,-999999,0
PCHOLPm_hs,-999999,0
PCHOLPr_hs,-999999,0
PCLAD,-999999,0
PCLYSOX,-999999,0
PCm,34.88,4.87
PCREATtmdiffir,0,0
PCRNtc,0,0
PCRNtm,0,0
PCt,11.33,4.76
PDE1,-1.86,5.07
PDE1g,-1.86,5.07
PDE4,4.21,7.82
PDE4g,4.21,7.82
PDE4n,4.21,7.82
PDHm,-34.37,5.2
PDX5PO,-113.97,6.93
PDXPP,-22.17,3.79
PE_HSter_for,0,0
PE_HStg_for,0,0
PE_HStm_for,0,0
PEAMNO,-89.02,8.97
PECGONCOATr,-999999,0
PEFLIP,11.33,4.76
PEFLIPm,11.33,4.76
PEPCK,11.15,5.45
PEPCKm,11.15,5.45
PEPLYStn_for,0,0
PERILLYLte_for,0,0
PEROXx,42.11,22.91
PEt_for,0,0
PETHCT,-57.09,6.69
PETOHMm_hs,-999999,0
PETOHMr_hs,-999999,0
PFK,27.12,4.85
PFK26,52.45,7.79
PGCD,76.81,4.82
PGDI_for,-999999,0
PGDIr_for,-999999,0
PGESr_for,-999999,0
PGI_for,2.55,0.62
PGISr_for,-999999,0
PGK_for,17,0.71
PGL,22.54,5.44
PGLer,22.54,5.44
PGLYCP,-36.15,3.71
PGLYCt_for,0,0
PGM_for,-4.12,0.58
PGMT_for,-7.39,1.2
PGPP_hs,-999999,0
PGPPT,-999999,0
PGS,-999999,0
PGSr,-999999,0
PHACCOAGLNAC,58.81,7.29
PHCDm,37.51,10.11
PHCHGSm_for,-8.66,9.77
PHEACGLNt_for,0,0
PHEMEt,0,0
PHEMEtm_for,0,0
PHEt4,0,0
PHETA1_for,-1.7,3.34
PHETA1m_for,-1.7,3.34
PHEtec_for,0,0
PHETHPTOX2,-999999,0
PHYCBOXL,-79.74,10.06
PHYHx,-450.76,7.54
PHYQt,11.33,4.76
PHYTt_for,0,0
PI345P3P,-999999,0
PI345P3Pn,-999999,0
PI345P5P,-999999,0
PI345P5Pn,-999999,0
PI34P3Pn,-999999,0
PI34P4Pn,-999999,0
PI34P5K,-999999,0
PI34P5Kn,-999999,0
PI3P3Pn,-999999,0
PI3P4K,-999999,0
PI3P4Kn,-999999,0
PI3P5K,-999999,0
PI45P3K,-999999,0
PI45P3Kn,-999999,0
PI45P4P,-999999,0
PI45P5P,-999999,0
PI45P5Pn,-999999,0
PI45PLC,-999999,0
PI45PLCn,-999999,0
PI4P3K,-999999,0
PI4P3Ker,-999999,0
PI4P3Kn,-999999,0
PI4P5K,-999999,0
PI4P5Kn,-999999,0
PI4PLC,-999999,0
PI4PLCn,-999999,0
PI4PP,-999999,0
PI5P3K,-999999,0
PI5P3Ker,-999999,0
PI5P4K,-999999,0
PI5P4Kn,-999999,0
PIACGT,-999999,0
PIK3,-999999,0
PIK3er,-999999,0
PIK3n,-999999,0
PIK4,-999999,0
PIK4n,-999999,0
PIK5,-999999,0
PIK5n,-999999,0
PIPLC,-999999,0
PIPLCn,-999999,0
PIt2m,0,0
PIt7_for,0,0
PIter_for,0,0
PItg,0,0
PItn_for,0,0
PItx_for,0,0
PLA2,-999999,0
PLA2_2,-999999,0
PLA2_2e,-999999,0
PLYSPSer,-999999,0
PMANM_for,-7.39,1.2
PMEVKx,6.65,3.34
PMI12346PH,8.16,5.39
PMI12346PHn,8.16,5.39
PMI1346PH,-999999,0
PMI1346PHn,-999999,0
PMTCOAtx_for,0,0
PNP_for,22.41,6.69
PNTEH,-24.77,8.07
PNTK,37.87,8.42
PNTKm,37.87,8.42
PNTOt5,11.33,4.76
PPA,24.76,4.74
PPA2,-999999,0
PPA2m,-999999,0
PPAer,24.76,4.74
PPAm,24.76,4.74
PPAn,24.76,4.74
PPAP,-999999,0
PPAt,0,0
PPAtm,0,0
PPBNGS,-43.13,9.28
PPCDC,-55.9,6.98
PPCOACm,38.98,9.9
PPCOAOm,40.18,7.74
PPD2CSPp,-16.34,8.85
PPDOx,-74.87,5.32
PPDOy,-78.3,5.29
PPItr_for,0,0
PPItx_for,0,0
PPM_for,-11.03,2.45
PPMI12346Ptn_for,0,0
PPMI1346Ptn_for,0,0
PPNCL3,0.84,9.96
PPOR,-512.01,10.48
PPPG9tm_for,0,0
PPPGOm,-999999,0
PPPItn_for,0,0
PRAGSr_for,26.41,6.37
PRASCS_for,40.72,8.74
PRDX,-293.64,7.53
PRDXl,-293.64,7.53
PRFGS,-999999,0
PRGNLONESULT,-999999,0
PRGNLONEtm_for,0,0
PRGNLONEtr_for,0,0
PRGSTRNt_for,0,0
PRISTANALtx_for,0,0
PRISTCOAtx_for,0,0
PRISTtx_for,0,0
PRO1xm,134.81,10.59
PROAKGOX1r,-477.6,13.11
PROD2,70.61,8.25
PROD2m,70.61,8.25
PRODt2r_for,0,0
PRODt2rL_for,0,0
PROSTGD2t_for,0,0
PROSTGE1t_for,0,0
PROSTGE1t3,11.33,4.76
PROSTGE2t_for,0,0
PROSTGE2t2_for,0,0
PROSTGE2t3,11.33,4.76
PROSTGF2t_for,0,0
PROSTGH2t_for,0,0
PROSTGI2t_for,0,0
PROSTGI2tr_for,0,0
PROt2r_for,0,0
PROt2rL_for,0,0
PROt4,0,0
PROtm,0,0
PRPNCOAHYDm,-0.48,3.95
PRPNCOAHYDx,-0.48,3.95
PRPPS_for,48,5.28
PS_HSter_for,0,0
PS_HStg_for,0,0
PSDm_hs,-999999,0
PSERT,34.69,0.61
PSFLIP,11.33,4.76
PSFLIPm,11.33,4.76
PSP_L,-57.31,0.45
PSSA1_hs_for,-999999,0
PSSA2_hs_for,-999999,0
PSt3_for,0,0
PTDCACRNCPT1,-999999,0
PTDCACRNCPT2,-999999,0
PTDCACRNt,0,0
PTDCAt_for,0,0
PTE2x,9.65,13.27
PTE3x,18.75,5.46
PTE4x,18.75,5.46
PTE5x,18.75,5.46
PTHPS,-999999,0
PTHPSn,-999999,0
PTPAT,-79.92,10.78
PTRCAT1,35.42,5.91
PTRCOX1,-89.02,8.97
PUNP1_for,7.63,2.14
PUNP2_for,10.48,5.46
PUNP3_for,10.75,3.34
PUNP4_for,14.92,6.7
PUNP5_for,9.18,1.72
PUNP6_for,9.48,2.73
PUNP7_for,10.29,4.73
PVD3_for,-999999,0
PYAM5POr,-89.02,8.97
PYAM5Ptm_for,0,0
PYDAMK,22.32,6.68
PYDAMtr_for,0,0
PYDX5Ptm_for,0,0
PYDXDH,-999999,0
PYDXK,24.87,5.99
PYDXNK,33.49,6.06
PYDXNtr_for,0,0
PYDXPP,-13.54,3.67
PYDXtr_for,0,0
PYK,-67.63,4.78
PYLALDOX,46.17,9.69
PYLALDOXm,46.17,9.69
PYNP2r_for,3.62,2.12
PYRt2m_for,0,0
PYRt2p_for,0,0
PYRt2r_for,0,0
QUILSYN,-999999,0
RADH,40.65,10.59
RADH2,44.08,10.59
RADH3,40.65,10.59
RADH4,44.08,10.59
RAHY,-451.98,7.18
RAI1_for,7.7,4.73
RAI2_for,0,0
RAI3_for,0,0
RAI4_for,-999999,0
RAtn_for,0,0
RAtn3_for,0,0
RBFK,42.98,5.93
RBK,12.76,5.5
RBK_D,28.56,5.47
RBTt,0,0
RDH1_for,53.79,5.46
RDH1a,57.22,5.49
RDH2_for,53.79,5.46
RDH2a,57.22,5.49
RDH3_for,61.48,7.23
RDH3a,64.91,7.25
RDH4_for,53.79,5.46
RETFA,-999999,0
RETFAt,0,0
RETFAt1,0,0
RETFAt2,0,0
RETH,-999999,0
RETH1,-999999,0
RETH1e,-999999,0
RETH2,-999999,0
RETH2e,-999999,0
RETHe,-999999,0
RETI1_for,0,0
RETI2_for,0,0
RETI3_for,0,0
RETNCOA,-22.73,2.76
RETNGLCt,0,0
RETNGLCt2,0,0
RETNGLCt2r,0,0
RETNGLCtr,0,0
RETNt_for,0,0
RETNtr,0,0
RETNtr2,0,0
RETt,0,0
RIBFLVt3,11.33,4.76
RIBt_for,0,0
RIBt2,0,0
RNDR1,-136.51,7.04
RNDR2,-133.39,5.14
RNDR3,-133.3,4.85
RNDR4,-130.67,4.13
RNMK,3.74,10.79
RPE_for,-3.57,1.86
RPI_for,2.16,1.23
RTOT_2,-999999,0
RTOT_3,-999999,0
RTOT1,-999999,0
RTOT2,-999999,0
RTOT3,-999999,0
RTOT4,-999999,0
RTOT5,-999999,0
RTOT6,-999999,0
RTOTAL2CRNCPT1,-999999,0
RTOTAL2CRNCPT2,-999999,0
RTOTAL2CRNt,0,0
RTOTAL2t_for,0,0
RTOTAL3CRNCPT1,-999999,0
RTOTAL3CRNCPT2,-999999,0
RTOTAL3CRNt,0,0
RTOTAL3t_for,0,0
RTOTALCRNCPT1,-999999,0
RTOTALCRNCPT2,-999999,0
RTOTALCRNt,0,0
RTOTALt_for,0,0
Rtotaltl_for,0,0
Rtotaltp_for,0,0
S23T2g,-999999,0
S23T3g,-999999,0
S23T4g,-999999,0
S23Tg,-999999,0
S26Tg,-999999,0
S2L2FN2M2MASNt,0,0
S2L2FN2M2MASNtly,0,0
S2L2N2M2MASNtly,0,0
S2T1g,-999999,0
S2T2g,-999999,0
S2T3g,-999999,0
S2T4g,-999999,0
S2TASE1ly,-999999,0
S2TASE2ly,-999999,0
S2TASE3ly,-999999,0
S2TASE4ly,-999999,0
S2TASE5ly,-999999,0
S3T1g,-999999,0
S3T2g,-999999,0
S3T3g,-999999,0
S3TASE1ly_for,-999999,0
S3TASE2ly_for,-999999,0
S3TASE3ly_for,-999999,0
S4T1g,-999999,0
S4T2g,-999999,0
S4T3g,-999999,0
S4T4g,-999999,0
S4T5g,-999999,0
S4T6g,-999999,0
S4TASE1ly_for,-999999,0
S4TASE2ly_for,-999999,0
S4TASE3ly_for,-999999,0
S4TASE4ly_for,-999999,0
S4TASE5ly_for,-999999,0
S6T10g,-999999,0
S6T11g,-999999,0
S6T12g,-999999,0
S6T13g,-999999,0
S6T14g,-999999,0
S6T15g,-999999,0
S6T16g,-999999,0
S6T17g,-999999,0
S6T18g,-999999,0
S6T19g,-999999,0
S6T1g,-999999,0
S6T20g,-999999,0
S6T21g,-999999,0
S6T22g,-999999,0
S6T23g,-999999,0
S6T24g,-999999,0
S6T25g,-999999,0
S6T2g,-999999,0
S6T3g,-999999,0
S6T4g,-999999,0
S6T5g,-999999,0
S6T6g,-999999,0
S6T7g,-999999,0
S6T8g,-999999,0
S6T9g,-999999,0
S6TASE10ly_for,-999999,0
S6TASE11ly_for,-999999,0
S6TASE12ly_for,-999999,0
S6TASE13ly_for,-999999,0
S6TASE14ly_for,-999999,0
S6TASE15ly_for,-999999,0
S6TASE16ly_for,-999999,0
S6TASE17ly_for,-999999,0
S6TASE18ly_for,-999999,0
S6TASE19ly_for,-999999,0
S6TASE1ly_for,-999999,0
S6TASE20ly_for,-999999,0
S6TASE21ly_for,-999999,0
S6TASE22ly_for,-999999,0
S6TASE23ly_for,-999999,0
S6TASE24ly_for,-999999,0
S6TASE25ly_for,-999999,0
S6TASE26ly_for,-999999,0
S6TASE2ly_for,-999999,0
S6TASE3ly_for,-999999,0
S6TASE4ly_for,-999999,0
S6TASE5ly_for,-999999,0
S6TASE6ly_for,-999999,0
S6TASE7ly_for,-999999,0
S6TASE8ly_for,-999999,0
S6TASE9ly_for,-999999,0
SACCD3m,-86.4,6.71
SACCD4m,72.08,7.74
SADT,-8.04,5.08
SALMCOM,-999999,0
SALMCOM2,-999999,0
SAMHISTA,-999999,0
SARCOXp,-60.4,16.48
SARCStex,0,0
SARCStm,0,0
SARCStp,0,0
SARDHm,26.63,15.74
SBPP1er,-15.57,2.45
SBPP3er,-15.57,2.45
SBTD_D2,54.52,4.99
SBTR,-58.04,5.04
SCP21x_for,0,0
SCP22x_for,0,0
SCP2x,-49.93,47.49
SCPx,-16.47,5.29
SEAHCYSHYD,-999999,0
SEAHCYStn_for,0,0
SEASMETtn_for,0,0
SELADT,-999999,0
SELCYSLY,-999999,0
SELCYSLY2,-999999,0
SELCYSTGL,-999999,0
SELCYSTS,-999999,0
SELMETAT,-999999,0
SELNPS,-999999,0
SELt4_3_for,0,0
Ser_Thrtg_for,0,0
SERALANaEx,0,0
SERASNNaEx,0,0
SERCYSNaEx,0,0
SERDGLNexR_for,0,0
SERDGLYexR_for,0,0
SERGLNexR_for,0,0
SERGLNNaEx,0,0
SERGLYexR_for,0,0
SERHL,-999999,0
SERLYSNaex,0,0
SERPT,-34.44,8.1
SERt4,0,0
SERTHRNaEx,0,0
SERtN1_for,0,0
SERtp_for,0,0
SFGTH,29.68,7.33
SGALSIDEtg_for,0,0
SGALSIDEtl_for,0,0
SGPL11r,5.9,3.33
SGPL12r,-76.16,13.39
SIAASE,-999999,0
SIAASE2ly,-999999,0
SIAASE3ly,-999999,0
SIAASE4ly,-999999,0
SIAASEly,-999999,0
SIAT4Bg,-999999,0
SIAT9g,-999999,0
sink_citr(c),-999999,0
sink_pre_prot(r)_for,-999999,0
SLCBK1,26.9,5.32
SLDt,0,0
SLDx_for,55.92,5.1
SLDxm_for,55.92,5.1
SMPD3g,-999999,0
SMPD3l,-999999,0
SMPD4,-999999,0
SMS,-999999,0
SO4CLtex2,0,0
SO4HCOtex,0,0
SO4OXAtex2,0,0
SO4t4_2_for,0,0
SO4tl_for,0,0
SOAT11,-999999,0
SOAT11r,-999999,0
SOAT12,-999999,0
SOAT12r,-999999,0
SPC_HSt_for,0,0
SPH1Pte_for,0,0
SPH1Ptr_for,0,0
SPHGNtr_for,0,0
SPHINGStl_for,0,0
SPHINGStr_for,0,0
SPHK21c,26.9,5.32
SPHMDAc,-999999,0
SPHMYLNtg_for,0,0
SPHMYLNtl_for,0,0
SPHS1Pte_for,0,0
SPHS1Ptr_for,0,0
SPMDOX,-80.17,16.34
SPMS,-999999,0
SPODM,-999999,0
SPODMe,-999999,0
SPODMm,-999999,0
SPODMn,-999999,0
SPODMx,-999999,0
SPR,-118.69,10.23
SPRMS,-999999,0
SPRn,-118.69,10.23
SPTix,4.11,1.25
SQLEr,-460.93,9.51
SQLSr,-223.19,10.46
SR5AR2r,-93.21,16.72
SR5ARr,-89.7,16.76
SRTN23OX,-356.82,16.01
SRTNACT,35.42,5.91
SRTNMTX,-999999,0
SRTNt6_2_r_for,0,0
SRTNtu_for,0,0
ST3GAL21g,-999999,0
ST3GAL22g,-999999,0
ST3GAL23g,-999999,0
ST3GAL31g,-999999,0
ST3GAL61g,-999999,0
ST3GAL62g,-999999,0
ST6GALNAC21,-999999,0
ST6GALNAC22,-999999,0
ST6GALNAC23,-999999,0
ST6GALNAC24,-999999,0
ST6GALNAC25,-999999,0
ST6GALNAC26,-999999,0
ST6GALNAC27,-999999,0
ST6GALNAC28,-999999,0
ST6GALNAC31,-999999,0
ST6GALNAC62,-999999,0
ST8SIA11,-999999,0
ST8SIA12,-999999,0
ST8SIA51g,-999999,0
ST8SIA52g,-999999,0
ST8SIA53g,-999999,0
ST8SIA54g,-999999,0
ST8SIA55g,-999999,0
ST8SIA56g,-999999,0
STCOAtx_for,0,0
STRDNCCPT1,-6.88,3.21
STRDNCCPT2,6.88,3.21
STRDNCCRNt,0,0
STRDNCt_for,0,0
STS1,-999999,0
STS1r,-999999,0
STS2,-999999,0
STS2r,-999999,0
SUCCt2m_for,0,0
SUCCt4_2_for,0,0
SUCCtp_for,0,0
SUCD1m_for,40.72,5.78
SUCOAS1m_for,1.03,0.75
SUCOASm_for,-2.65,2.15
SUCRe,-25.46,2.06
SULFOX,-999999,0
T2M26DCOAHLm_for,1.26,3.8
T2M26DCOAHLx_for,1.26,3.8
T4HCINNMFM,11.35,2.92
T4HCINNOX,-416.94,8.55
TAGAT_Dt,0,0
TAGt_for,0,0
TALA_for,-0.95,2.28
TAURt4_2_r_for,0,0
TAURtcx_for,0,0
TAXOLte_for,0,0
TCHOLAt_for,0,0
TCHOLAt2,0,0
TCHOLAt3,11.33,4.76
TCHOLAte_for,0,0
TCHOLAtx_for,0,0
TCYNTt,0,0
TCYNTtm,0,0
TDCHOLAte_for,0,0
TDCHOLAtx_for,0,0
TDP,10.74,6.74
TDPDRE,0,0
TDPDRR,-67.29,6.39
TDPGDH,-46.99,5.95
TDPm,10.74,6.74
TETHEX3COAtx_for,0,0
TETHEX3t_for,0,0
TETPENT3COAtx_for,0,0
TETPENT3CPT1,-999999,0
TETPENT3CPT2,-999999,0
TETPENT3CRNt,0,0
TETPENT3t_for,0,0
TETPENT6COAtx_for,0,0
TETPENT6CPT1,-999999,0
TETPENT6CPT2,-999999,0
TETPENT6CRNt,0,0
TETPENT6t_for,0,0
TETTET6COAtx_for,0,0
TETTET6CPT1,-999999,0
TETTET6CPT2,-999999,0
TETTET6CRNt,0,0
TETTET6t_for,0,0
THBPT4ACAMDASE,-999999,0
THCHOLSTOICtm_for,0,0
THD1m,3.43,0.54
THFt2_for,0,0
THFtl_for,0,0
THFtm_for,0,0
THMDt4,0,0
THMMPt4_for,0,0
THMMPtm_for,0,0
THMP,-18.15,6
THMPPtm,0,0
THMt2m,0,0
THMt3_for,0,0
THMTP,9.77,5.37
THMTPt,0,0
THP2Ctp_for,0,0
THRALANaEx,0,0
THRASNNaEx,0,0
THRCYSNaEx,0,0
THRD_L,-19.88,8.14
THRGLNexR_for,0,0
THRGLNNaEx,0,0
THRGLYexR_for,0,0
THRS,-26.12,4.95
THRSERNaEx,0,0
THRt4,0,0
THYMDt1,0,0
THYMDtl_for,0,0
THYMDtm_for,0,0
THYMt_for,0,0
THYOXt_for,0,0
THYOXt2_for,0,0
THYPX,-999999,0
TKT1_for,-3.93,3.1
TKT2_for,-10.4,3.1
TMABADH,46.17,9.69
TMDK1,21.33,7.16
TMDK1m,21.33,7.16
TMDPK,28.18,6.76
TMDPP_for,3.28,7.23
TMDPPK,1.56,2.53
TMDS,-35.76,5.22
TMLYSOX,-450.76,7.54
TMLYSter,0,0
TMNDNCCOAtx_for,0,0
TMNDNCCPT1,-999999,0
TMNDNCCPT2,-999999,0
TMNDNCCRNt,0,0
TMNDNCt_for,0,0
TOLBUTAMIDEte_for,0,0
TPI_for,5.48,0.89
TRDR,34.1,5.29
TRDR2,-174.5,13.12
TRDR3,-171.07,13.12
TRDRm,34.1,5.29
TREH,-11.68,1.74
TREHe,-11.68,1.74
TRIODTHYSUFt,0,0
TRIODTHYSULT,-999999,0
TRIODTHYt_for,0,0
TRIODTHYt2_for,0,0
TRIOK,14.09,5.27
TRPHYDRO2,-999999,0
TRPO2,-364.69,14.92
TRPt_for,0,0
TRPt4,0,0
TRYPTAOX,-89.02,8.97
TS3_for,0,0
TSTSTERONEGLCte,11.33,4.76
TSTSTERONEGLCtr_for,0,0
TSTSTERONESte_for,0,0
TSTSTERONESULT,-999999,0
TSTSTERONEt_for,0,0
TSTSTERONEtr_for,0,0
TSULt4_3_for,0,0
TTDCAtr_for,0,0
TTDCPT1,-999999,0
TTDCPT2,6.88,3.21
TTDCRNt,0,0
TXA2te_for,0,0
TXA2tr_for,0,0
TXASr,23.01,20.48
TYMSFt,0,0
TYMSULT,-999999,0
TYR3MO2,-999999,0
TYRASE,-999999,0
TYRCBOX,-116.42,10.14
TYRDOPO,-537.99,18.75
TYRDOPO3,-286.51,25.58
TYROXDAc,-89.02,8.97
TYRt_for,0,0
TYRt4,0,0
TYRTA_for,-1.2,3.34
TYRTAm_for,-1.2,3.34
UAG2EMAi,25.18,7.16
UAG4E_for,0,0
UAGALDP,-54.95,6.69
UAGDP,-54.95,6.69
UDPACGALtl_for,0,0
UDPDOLPT_L,-999999,0
UDPDOLPT_U,-999999,0
UDPG1P,54.32,12.27
UDPG4E_for,0,0
